Sentence	Firmware	Installation	Performance	Usability	Support	Sentiment
GOOGLEs!!!!!	0	0	0	0	0	0
30 seconds to load 1 logo image and close to about 40 words!!!	0	0	0	0	0	0
"On Speakeasy speedtest, not shockingly my down speed was 62kpbs and upspeed was 400kpbs."	0	0	0	0	0	0
This is beyond ridiculous!!	0	0	0	0	0	0
Rebooting the router brought the speeds back up to 22Mpbs/5Mbps but this is within a week of last reboot!Needless to say I called Linksys customer support in Jan10 to log in my complaints.	0	0	0	0	0	0
The technician was nice/helpful and ran several remote tests on the router although nothing yielded any significant results.	0	0	0	0	0	0
"Somewhere during the course of the support call, I ended up mentioning that I have 7 or so machines connecting to the router but never more than 2-3 connecting simultaneously."	0	0	0	0	0	0
"From that point on, the tech kept pushing the theory that I have too many machines and that the router is not designed to handle that many simultaneous connections."	0	0	0	0	0	0
Seriously???	0	0	0	0	0	0
3 simultaneous connections and this router chokes???	0	0	0	0	0	0
The friendly company man even made a recommendation that perhaps I should sell this router off and invest in another Linksys dual-band router.	0	0	0	0	0	0
He even gave me the model#.	0	0	0	0	0	0
Think I am going to heed his advice but take it a step further.	0	0	0	0	0	0
SELL OFF THIS ROUTER AND NEVER EVER BUY A LINKSYS ROUTER AGAIN!!	0	0	0	0	0	0
I consider myself a bit of a geek and all my friends come to me for advice when it comes to technology/gadgets.	0	0	0	0	0	0
I will never ever recommend another linksys product again either.	0	0	0	0	0	0
"If there were any way to rate this router lower than 1 star, I probably would have gone for that"	0	0	0	0	0	0
OVERALL EXTREMELY BAD EXPERIENCE WITH THIS PRODUCT!	0	0	0	0	0	0
Well had this router since last Oct.	0	0	0	0	0	0
"The first time the wireless dropped was when I first got it, a firmware upgrade fixed it for about 2 months."	0	0	0	0	0	0
"Then the dropping started with no long term fix, had to start resetting/rebooting or unplugging, read somewhere that it maybe a firmware issue, ok got DD-WRT the longest the wireless stayed up with that is 8 days 20 hours 30 mins."	0	0	0	0	0	0
"DD-WRT has a uptime clock, anyway I have a new none Linksys router coming."	0	0	0	0	0	0
"The Linksys WRT160Nv3 looks nice, but I got a Wireless router, for the wireless."	0	0	0	0	0	0
This unit is easy to setup.	0	0	0	0	0	0
Beware the more you use it the more intermittent your internet connection can be.	0	0	0	0	0	0
I returned the 1st unit because of the intemittent internet connectivity.	0	0	0	0	0	0
I also calked limksys customer support and they are aware of the issue.	0	0	0	0	0	0
For a fee they will remote in and change setting to fix the issue.	0	0	0	0	0	0
There website does not have a fix that I can see.	0	0	0	0	0	0
Pay the fee and who knows how much more money they will want	0	0	0	0	0	0
STAY  AWAY!!!!!!!!!!!!!!!	0	0	0	0	0	0
Purchase some other wireless product that will be stable and keep working.	0	0	0	0	0	0
"To set expectations, I just wanted to get a new router, with Draft N support, to replace my old Linksys router from 2000/2001."	0	0	0	0	0	0
I had no intentions of flashing dd-wrt on it.	0	0	0	0	0	0
"Essentially I wanted to allow occasional wireless internet access to my PS3, iTouch, Canon mp 560 printer, and my work computer as well as stable wired connectivity to my office computer."	0	0	0	0	0	0
Also most of my devices are in the same room or nearby	0	0	0	0	0	0
For all intents and purpose it works fine and I cant say that Im dissatisfied.	0	0	0	0	0	0
"With Time Warner Road Runner Standard, I was able to measure speeds of 8Mb down on my PS3 and pretty reliable connectivity on the iTouch"	0	0	0	0	0	0
I keep my office computer wired and can get up to 23Mb down	0	0	0	0	0	0
I did not mess with the software that came bundled with the router.	0	0	0	0	0	0
"Instead, I just powered it up, and went to the admin console via browser to set up all the security features."	0	0	0	0	0	0
"I would recommend changing all default passwords, implementing WPA2 AES, and using the max number of characters for the WPA2 key (63 characters)."	0	0	0	0	0	0
"Some people recommend disabling SSID broadcasting and MAC address filtering, while others think they are a waste of time."	0	0	0	0	0	0
I personally disabled my SSID broadcasting and skipped the MAC address filtering	0	0	0	0	0	0
"I have version 3, found that connectivity has been pretty reliable, and have yet a need to bounce the router"	0	0	0	0	0	0
"As a caveat for wireless access, the WRT160N supports frequency of 2.4 GHz."	0	0	0	0	0	0
"You might encounter some interference with wireless phones, or other nearby networks."	0	0	0	0	0	0
I would also suggest experimenting with the channel if need be.	0	0	0	0	0	0
"I believe the default for most routers is channel 6, so you might want to try the other non-overlapping channels, 1 or 11."	0	0	0	0	0	0
This router was shipped with the wromg software.	0	0	0	0	0	0
After working with tech support for more than an hour we could not make it work.	0	0	0	0	0	0
"Returned the item defective,Have not recieved credit as of Feb 21."	0	0	0	0	0	0
I am using this router with Comcast cable internet service and it works great.	0	0	0	0	0	0
It took some time to get it setup correctly.	0	0	0	0	0	0
After several calls to Comcast I learned that you have to let the cable modem boot up completely before you try and power on the router.	0	0	0	0	0	0
"Once I did that, everything else went great."	0	0	0	0	0	0
Ive now had it for a couple of months and it works great.	0	0	0	0	0	0
Connection is strong and speeds are good.	0	0	0	0	0	0
"I checked to ensure this was a V1 router, because of all the V2 issues."	0	0	0	0	0	0
I was told via email I would receive V1.	0	0	0	0	0	0
"Of course, it arrived and was a V2 router."	0	0	0	0	0	0
Did I expect what I was told?	0	0	0	0	0	0
"Honestly, not really."	0	0	0	0	0	0
Lack of accountability in the good ole USA is at an all time high.	0	0	0	0	0	0
It is accepted by most and appears to be the American way.	0	0	0	0	0	0
"Government, police."	0	0	0	0	0	0
"and biz execs do this on a much higher scale, obviously."	0	0	0	0	0	0
Nobody seems accountable for anything.	0	0	0	0	0	0
It is truly the downfall of this nation.	0	0	0	0	0	0
And seems to be acceptable now.	0	0	0	0	0	0
"When confronted with the issue, PlusDigUSA told me they dont ship the routers... so, why even bother ensuring me Ill get what I ordered?"	0	0	0	0	0	0
Pass the buck.	0	0	0	0	0	0
Nobody would be surprised really.	0	0	0	0	0	0
This has become so common place.	0	0	0	0	0	0
"This, in a nutshell, is why this country is in the state it is."	0	0	0	0	0	0
Nobody is accountable.	0	0	0	0	0	0
And nobody cares.	0	0	0	0	0	0
Sorry to ramble... but had to be said.	0	0	0	0	0	0
After 2 months use signal drops every 5 seconds.	0	0	0	0	0	0
"Linksys tech support worse than useless, reading from script, not helpful."	0	0	0	0	0	0
"The pain of trying to get a refubed unit to replace this with and have it do the same thing was too much to bear, bought a DLink and mailed this to Linksys customer relations."	0	0	0	0	0	0
Ive had a WRT54G for many years and decided to get the WRT160N (Jan 2010).Works great.1.	0	0	0	0	0	0
"I did not use the CD to set it up (all that Network Magic stuff is to sell more s/w, Ive used it and uninstalled it, didnt do much for me)2."	0	0	0	0	0	0
Set it up using your browser and default URL: 192.168.1.13.	0	0	0	0	0	0
Firmware version: 3.00.02 (out of the box)It is faster than the WRT54G.	0	0	0	0	0	0
The signal strength is great (2-story house with intermediate walls).	0	0	0	0	0	0
And it looks low/sleek and cool (especially in the dark)...Not sure why do many have had problems (earlier versions?	0	0	0	0	0	0
"Unfortunately, I was never able to get this router to work properly."	0	0	0	0	0	0
I spent an entire day following the directions (which were quite simple) only to find when I got to the final step it told me that I had no Internet connection and I should contact my cable provider.	0	0	0	0	0	0
Then I would start from scratch and go through the process only to get the same result	0	0	0	0	0	0
"I have been using an 802.11b,g router from Cisco/Netgear for many years with no problem so this was very discouraging."	0	0	0	0	0	0
I am the head of IT at a 4-year college and was really disappointed with the product and ultimately returned it to Amazon.	0	0	0	0	0	0
Amazon was very nice about the return but Im really discouraged that ordering this on-line and having to return it took over 2 weeks (I didnt pay for one-day shipping since I didnt need it urgently).Now I am looking for another vendor for an 802.11N router.	0	0	0	0	0	0
Note: I searched on Internet forums and found a variety of opinions including some people who had the same problem but no clear solutions.	0	0	0	0	0	0
We ended up purchasing this router to replace another Linksys that failed after 3 years of use.	0	0	0	0	0	0
It configured easy enough.	0	0	0	0	0	0
But I have discovered that the throughput on the 10MB cable connection degrades to about .3mb after several days of use.	0	0	0	0	0	0
"Resetting the router fixes the problem for a few days, but who wants to deal with that annoyance."	0	0	0	0	0	0
This is a V3 of the router and its not worth my time to spend working with customer support or searching the internet any longer for solutions.	0	0	0	0	0	0
So Ill be shopping for something else to replace it.	0	0	0	0	0	0
This is a terrible router.	0	0	0	0	0	0
"Im not sure if its because of no antennas, bad software / firmware, or cheap chipsets, but the range is terrible."	0	0	0	0	0	0
I can be in my bedroom (one room away) and completely lose a signal.	0	0	0	0	0	0
"Id give this router an F, and wont be buying another Linksys product again anytime soon."	0	0	0	0	0	0
"I replaced this router with an Airport Express, and couldnt be happier at the range or speed!"	0	0	0	0	0	0
"Bought this to make use of N speeds our two Sony VAIO laptops and to be able to use the routers USB storage feature for shared folders, backups, etc."	0	0	0	0	0	0
"Both laptops are fairly current, run flawlessly on Vista and connect without issues to whatever wifi signal weve ever tried"	0	0	0	0	0	0
"After several errors installing the included setup CD, it finally loaded up, and I mean loaded up."	0	0	0	0	0	0
Ciscos Network Magic software is a nothing short of a smelly piece of CPU/RAM sucking bloatware.	0	0	0	0	0	0
"Good grief, what a mess"	0	0	0	0	0	0
"After much trial & error and web searching for people having similar problems, I finally got one of the laptops to connect using some of the tips and settings found online."	0	0	0	0	0	0
"Once online, I set about setting up our storage hub, a USB hard drive."	0	0	0	0	0	0
Gave up on that a couple of hours in.	0	0	0	0	0	0
"Again, using tips from other users having the same issues, including the many postings on Ciscos own support pages, nothing but a dead end"	0	0	0	0	0	0
I put that aside for a bit and tried my iPhone 3GS on the connection.	0	0	0	0	0	0
"Well, being a G only device, the router must be set to mixed."	0	0	0	0	0	0
"When set this way, the laptop connects at G speeds, regardless of its ability to use N. Switch the router to N only and the laptop will then use N and [...] confirms the speed bump, but then of course the iPhone cant connect."	0	0	0	0	0	0
"In other words, theres apparently no such thing as mixed with this thing."	0	0	0	0	0	0
"Youre either using N or G and if you want to use G any devices, then even the N devices are effectively G only"	0	0	0	0	0	0
As for the other laptop?	0	0	0	0	0	0
Wouldnt connect any which way to the router.	0	0	0	0	0	0
"No way, no how."	0	0	0	0	0	0
Tried everything under the sun for over four hours.	0	0	0	0	0	0
"Nothing but dead ends, router reboots, unable to connects, and on and on"	0	0	0	0	0	0
What a colossal waste of time.	0	0	0	0	0	0
It shouldnt be this messy to just hook up a wireless router and its never been with any of the other routers Ive hooked up and used over the many years.	0	0	0	0	0	0
Simple as that.	0	0	0	0	0	0
This things going straight back to the store	0	0	0	0	0	0
"I unhooked and boxed the pile back into its packaging, then hooked up the old Cisco/Linksys WRT54GS it was all set to replace."	0	0	0	0	0	0
It worked perfectly just as it has for a long while now.	0	0	0	0	0	0
Go figure	0	0	0	0	0	0
"Cisco, youve lost your way."	0	0	0	0	0	0
Or something.	0	0	0	0	0	0
Bought this router back in August of 2008 based on favorable reviews.	0	0	0	0	0	0
Very easy to set up...no issues...Have both Mac(mac book pro and imac) and PCs (Dell laptop and Thinkpad laptop).	0	0	0	0	0	0
"However, connections would drop every so often...particularly on the macs."	0	0	0	0	0	0
"Originally thought it was airport utility on the macs, but problem surfaced on PCs as well."	0	0	0	0	0	0
Figured I should update the firmware to the latest version....big mistake....killed my WRT160N v2 router (would no longer dhcp and power light flickered incessantly).	0	0	0	0	0	0
Called tech support(India) even though warranty was expired...only after a few minutes of rudimentary tests that Ive actually done myself (reset and power cycle)...they had the audacity to give a sales pitch for worse model and didnt even offer to replace the original one.	0	0	0	0	0	0
This left me quite peeved with reservations of ever buying Linksys networking products again.	0	0	0	0	0	0
This product just worked ... like my Macs.	0	0	0	0	0	0
Had originally purchased a NETGEAR product and could not get it to work properly in my situation and NETGEAR customer support was of no help either.	0	0	0	0	0	0
Did have to call Linksys support because of a web site issue when registering the product; the issue was resolved quickly.	0	0	0	0	0	0
Configuring the device was intuitive and simple.	0	0	0	0	0	0
I expected the router to work faster but it doesnt work as fast as I expected.	0	0	0	0	0	0
Whether it is the router or my N adapter I expected a faster wireless connection.	0	0	0	0	0	0
"Like one of the customers said, I had high hope for this router, but very disappointed."	0	0	0	0	0	0
"A lightning strike fired our old router, which is only a G, so we thought to upgrade based on recommendations from our cable service provider."	0	0	0	0	0	0
"After days of research, I decided on this Ultra Range router, boy, have I regret it!"	0	0	0	0	0	0
"Set up was not easy, after a call to tech support we finally got it to work."	0	0	0	0	0	0
"However, it dropped on and off from time to time"	0	0	0	0	0	0
"Ultra Range, what range?"	0	0	0	0	0	0
"Unless I am in the room adjacent to it I get low connection and average speed of 2.2 Mbps from my bedroom, which is only separated by kitchen and a big family room (I meant the entire first floor was less than 2,000 sq."	0	0	0	0	0	0
feet)!	0	0	0	0	0	0
And the no connectivity seems to always happen on the days I have to work from home.	0	0	0	0	0	0
"We kept thinking it was the cable service problem, after talking to the tech support the 3rd time I was told the range of this router is about 30 feet!"	0	0	0	0	0	0
"We had this router for 3 months, and now Amazon is only willing to refund 1/2 of the purchased price."	0	0	0	0	0	0
"Well, I suppose I should be glad at least I get 1/2 of my $ back."	0	0	0	0	0	0
"Wireless N, 4x Gigabit Ethernet ports just as advertised."	0	0	0	0	0	0
"The user interface works well enough to get everything done that needs to be done, Ive been running it pretty much constantly with several terabytes of data transferred over the years with pretty much no problems at all."	0	0	0	0	0	0
"It can get a little warm, but Ive never seen it overheat."	0	0	0	0	0	0
Avoid putting it in poor ventilated conditions.	0	0	0	0	0	0
Ive had this router for a few years (160n V3) and its been a frustrating experience.	0	0	0	0	0	0
"On the positive side, I thought it was easy to setup, has decent range, and its been durable."	0	0	0	0	0	0
"However, its quirky and unreliable"	0	0	0	0	0	0
"There are frequent issues with IP conflicts, connectivity issues periodically crop up (confirmed as router issues, not modem), and the unit needs to be power cycled every couple days to maintain decent speeds."	0	0	0	0	0	0
"After a power cycle, the unit performs very well for a couple days, but performance slowly degrades."	0	0	0	0	0	0
"Web pages simply seem a little slow, but streaming video from Youtube or Netflix becomes impossible without another reboot"	0	0	0	0	0	0
"In sum, its a frustrating piece of technology."	0	0	0	0	0	0
"It performs just well enough (with frequent reboots) that I havent replaced it, but I would strongly discourage anyone from buying this model and Ill likely avoid Cisco when I finally replace it."	0	0	0	0	0	0
"Work without any problem and everywhereWork without any problem and everywhere,Work without any problem and everywhereWork without any problem and everywhere"	0	0	0	0	0	0
Thanks!	0	0	0	0	0	0
Great Product and perfect timing i hace to keep on writing la la la la la la la la!	0	0	0	0	0	0
Bought this cause my sister wanted to convert to wifi in her apartmemt.	0	0	0	0	0	0
Easy to set up and because it has a guest feature visitors can temporarily use it.	0	0	0	0	0	0
Good wireless coverage and cheap	0	0	0	0	0	0
I recommend this sellerI recommend this sellerI recommend this sellerI recommend this sellerI recommend this sellerI recommend this sellerI recommend this sellerI recommend this sellerI recommend this sellerI recommend this sellerI recommend this sellerI recommend this sellerI recommend this sellerI recommend this sellerSo good	0	0	0	0	0	0
I was having issues with my WRT160N router tonight and called Linksys.	0	0	0	0	0	0
I did not wait on hold at all and was quickly directed a service rep; Mercury 17103.	0	0	0	0	0	0
He was very helpful and friendly and helped me fix the issue quickly.	0	0	0	0	0	0
Everthing went well!	0	0	0	0	0	0
Great product as described.	0	0	0	0	0	0
Will do business again.	0	0	0	0	0	0
Awesome company to do business with.	0	0	0	0	0	0
The product was exactly what we wanted.	0	0	0	0	0	0
Thanks.	0	0	0	0	0	0
I got this product is relatively good shape and I am happy with the product.	0	0	0	0	0	0
I would recommend this	0	0	0	0	0	0
"I have the v3 and since I bought it, 2 years ago, it continuously drops the connection."	0	0	0	0	0	0
I have to reset it at least once a day.	0	0	0	0	0	0
I write that and I cant understand why I still have it	0	0	0	0	0	0
Extremely disappointed.	0	0	0	0	0	0
"After returning three WRT54G2 routers that Cisco tech support confirmed to be defective, I thought Id give Linksys/Cisco one more try with this step-up model a try."	0	0	0	0	0	0
"The setup program crashed a couple of times, so I configured the router manually and upgraded to the latest firmware."	0	0	0	0	0	0
"Everything worked fine for about three days, then Internet performance dropped dramatically and the routers web interface refused connections."	0	0	0	0	0	0
"I performed a factory reset and reconfigured from scratch, service restored"	0	0	0	0	0	0
"Two days later, the router started refusing Wifi connections."	0	0	0	0	0	0
Cisco tech support had me drop security from WPA2 to WPA.	0	0	0	0	0	0
"Apparently the router cant support more than two Wifi devices for a prolonged period at the highest encryption level, and at peak I have four Wifi devices."	0	0	0	0	0	0
"I switched back to WPA2 a few times, and the router now immediately drops the Wifi devices at the higher encryption setting"	0	0	0	0	0	0
Some of the configuration settings either dont stick or cause the router to lock up when setting them.	0	0	0	0	0	0
Obviously buggy software is not something one wants to see in a first line security device	0	0	0	0	0	0
"I think Ive been very patient, Im very disappointed in Cisco at this point"	0	0	0	0	0	0
"Update: 2/10/2010 - After several more issues and oddball excuses from Cisco tech support, I returned the Linksys WRT160N and ordered a Netgear WNDR3700 router to replace it."	0	0	0	0	0	0
"The Netgear has a solid feel, robust web interface and just works."	0	0	0	0	0	0
"Honestly, after receiving the router over 2 months ago, I couldnt get it working."	0	0	0	0	0	0
Went out and purchased a Linksys Wireless Adapter....only to find the signal is never strong enough for me to log on to my laptop	0	0	0	0	0	0
"Since, I have been swamped with so many other things that I havent had time to find out why the system is not working."	0	0	0	0	0	0
"After several attempts to get this router connected to Comcast service, I gave up."	0	0	0	0	0	0
Comcast technicians ( on 2 different occasions) as well as use of Cisco internet suggestions did not help.	0	0	0	0	0	0
"Consequently, I am unable to rate this product."	0	0	0	0	0	0
the wrt160n works well for establishing a wireless network at home	0	0	0	0	0	0
its ez to setup and you will be working within a few min	0	0	0	0	0	0
it took me about 15 min.	0	0	0	0	0	0
but i had some other prob.	0	0	0	0	0	0
i had to overcomefirst to get it and the wireless bridge to work	0	0	0	0	0	0
overall i recommend this devise for the home.	0	0	0	0	0	0
One star is three stars too many.	0	0	0	0	0	0
"At the moment, I am getting a whopping 3kb-14kb download speed with a (wireless) connection that constantly drops out."	0	0	0	0	0	0
I bought this to replace my old cheap 6-year-old router which had 30x the speed and 2x the range.	0	0	0	0	0	0
From reading other reviews it seems that the default settings are not optimal so I posted to the linksys newsgroup asking for help.	0	0	0	0	0	0
"Someone was nice enough to suggest some settings, but that did nothing to solve my problem."	0	0	0	0	0	0
"If youre techie (or just bored) and have a weekend to kill tweaking the settings and downloading 3rd party software to replace the original Linksys software, more power to you."	0	0	0	0	0	0
"Otherwise, I strongly suggest you buy a different router."	0	0	0	0	0	0
This was the V3 version.	0	0	0	0	0	0
I work in the computer industry and have an extensive computer hardware and software background.	0	0	0	0	0	0
"However, I am not really sure about this Linksys WRT160N router."	0	0	0	0	0	0
I installed it without many issues.	0	0	0	0	0	0
Basic Internet connection worked.	0	0	0	0	0	0
"However, it destroyed my home network."	0	0	0	0	0	0
With my old Linksys router I had everything working great.	0	0	0	0	0	0
Printing.	0	0	0	0	0	0
File sharing.	0	0	0	0	0	0
No problems.	0	0	0	0	0	0
"However, after installing the new Linksys WRT160N router I could not print to my shared printers or share files."	0	0	0	0	0	0
A real disappointment.	0	0	0	0	0	0
"I spent the next couple of hours troubleshooting, uninstalling and reinstalling without success."	0	0	0	0	0	0
From what I could tell to fully activate shared printing and files Cisco wanted me to buy additional software for the other PCs.	0	0	0	0	0	0
I really hate this when a company leads me into buying something only to discover that you need to buy add-on products to make it work correctly.	0	0	0	0	0	0
Or at least this as far as I got before I decided the router simply is not worth all of this trouble.	0	0	0	0	0	0
Returning this #$%&!	0	0	0	0	0	0
tomorrow.	0	0	0	0	0	0
This router is honestly crap.	0	0	0	0	0	0
I upgraded the firmware and tried the port blocking.	0	0	0	0	0	0
However it doesnt respect the port blocking rules I set.	0	0	0	0	0	0
"I found this wireless router easy to set up, the instructions were very clear."	0	0	0	0	0	0
It gives fast speed.	0	0	0	0	0	0
Having this router has made my life easier.	0	0	0	0	0	0
This router has caused me a bit of problems.	0	0	0	0	0	0
"First, it suddenly stopped allowing my Sprint Airave from communicating with the Internet."	0	0	0	0	0	0
"Tech support figured that it was something that went haywire with the hardware, so they sent me a replacement."	0	0	0	0	0	0
"And indeed, the replacement worked, so somehow, the first one I had just broke on its own"	0	0	0	0	0	0
"Now, Im having a hell of a time getting the router to play nice with my XBOX 360 for media center streaming."	0	0	0	0	0	0
"Was working just fine for a couple months, and now I have endless problems."	0	0	0	0	0	0
It keeps on getting major jitters and will just disconnect my XBOX from the wireless randomly.	0	0	0	0	0	0
Im definitely buying a NON-LINKSYS next time.	0	0	0	0	0	0
Works fine for wired connections.	0	0	0	0	0	0
Wireless connections only sometimes work.	0	0	0	0	0	0
I often have to reboot the router and laptop to establish a connection.	0	0	0	0	0	0
Didnt work at all until I upgraded the firmware.	0	0	0	0	0	0
Wish I had gotten a different router	0	0	0	0	0	0
"Update 4/21/10: I thought the firmware update finally had this working, but it turns out there are new problems."	0	0	0	0	0	0
"Sometimes when I bring up a web page, it redirects me to [...]."	0	0	0	0	0	0
It seems the DNS proxy service that is built into the WRT160N v3 is resolving to the incorrect address.	0	0	0	0	0	0
There is a thread on the cisco forums that talks about this.	0	0	0	0	0	0
Cisco customer service rudely dismissed my requests for help by denying they had a problem and hanging up on me.[...	0	0	0	0	0	0
Plain and simple: Do not buy Linksys Routers.	0	0	0	0	0	0
Their routers have major configuration issues and is extremely difficult to set up because their software doesnt configure it automatically like other brands.	0	0	0	0	0	0
I bought a brand new HP laptop with windows 7 and bought this WRT160N router.	0	0	0	0	0	0
I set it up and it did recognize my SSID name when I connected to that network but when Id go to connect it would say Can not connect or when I was able to connect it would just drop out after a few mins.	0	0	0	0	0	0
So I got my money back on this one and purchased the same model elsewhere and still had the same problem.	0	0	0	0	0	0
For days I couldnt figure this out so I called Linksys tech.	0	0	0	0	0	0
support and went around in circles with them for hours and they didnt know what to do but they did say they could configure the router themselves over the phone but would charge me $9 to do it.	0	0	0	0	0	0
"First of all, I didnt pay $80 for a brand new router just so I could pay another $9 for them to reconfigure it when it should have done it automatically."	0	0	0	0	0	0
This is ridiculous.	0	0	0	0	0	0
I honestly think that Linksys sets their routers up like this on purpose just so they can get more money out of you to reconfigure it	0	0	0	0	0	0
My Solution:  Buy the Belkin N+ router.	0	0	0	0	0	0
Amazon offers a better price for it though.	0	0	0	0	0	0
Works pefectly with no problems at all.	0	0	0	0	0	0
Took only 5 mins.	0	0	0	0	0	0
to install.	0	0	0	0	0	0
It also configures your router automatically so you dont have to unlike the Linksys brand.	0	0	0	0	0	0
"If you dont have problems with the Linksys router now you probably will later, especially if your power ever goes out."	0	0	0	0	0	0
Its just a matter of time.	0	0	0	0	0	0
Buy the Belkin N+ router and youll be able to save yourself a major headache in the future.	0	0	0	0	0	0
No problems so far.	0	0	0	0	0	0
I had a bit of trouble getting everything synced but thats because I have a Mac and a wireless printer that all had to sync together.	0	0	0	0	0	0
"Once it did, its been no trouble, and gives a very good range (full bars one floor down) and nice speed."	0	0	0	0	0	0
I am not satisfied at all with this product.	0	0	0	0	0	0
I set it up and it gave me problems immediately.	0	0	0	0	0	0
When I called Customer Service I had to deal with a lady that barely speaks English and spent an hour on the phone with her and got no where.	0	0	0	0	0	0
"Then I called back and spoke with another non speaking gentelman, but he was able to help me somewhat."	0	0	0	0	0	0
"My internet works a little over half the time, the other half the wireless doesnt work and I have to plug directly into the modem."	0	0	0	0	0	0
I am very displeased that I bought this and will go with NetGear next time I have to buy something.	0	0	0	0	0	0
"So I bought this router in March 2009, thinking Id get the Wireless N for hooking up my Xbox, PS3, Wii, and PC Desktop."	0	0	0	0	0	0
"While the connectivity with my XBox 360 seemed to be pretty good, as well as the Wifi with my Iphones and Wii, it never really worked well with the most important thing of all, my PC."	0	0	0	0	0	0
"When I bought it, it ran Windows XP, and I swear to god it would take forever to pick up a signal and would, in the span of a few minutes drop it."	0	0	0	0	0	0
And this is with a WIRED CONNECTION.	0	0	0	0	0	0
"So later on, my Pentium 4 dies on me, and I decide to buy a Quad Core from Dell with Windows 7."	0	0	0	0	0	0
SAME PROBLEM!	0	0	0	0	0	0
"I figure, Ill update the routers firmware and itll fix everything."	0	0	0	0	0	0
"Low and behold, I try to update router firmware with official software from their site, and it bricks my router!!!"	0	0	0	0	0	0
"I call Linksys and after about 3 separate calls, they finally replace my router."	0	0	0	0	0	0
"My refurb arrives after about a week and a half, and get this..."	0	0	0	0	0	0
The thing is DEAD ON ARRIVAL!	0	0	0	0	0	0
So now I have to wait another week and a half to get another refurbed router!!	0	0	0	0	0	0
"This router, is certainly a POS."	0	0	0	0	0	0
"As for my shotty connection with my PCs, it turns out that when I plug the 10mbs cable modem directly into my PC, it works like a charm."	0	0	0	0	0	0
The problem was with the router all along.	0	0	0	0	0	0
I highly DO NOT RECOMMEND THIS PRODUCT.	0	0	0	0	0	0
"Dont buy it, dont even bother looking at it."	0	0	0	0	0	0
It is a piece of crap and the tech support is TERRIBLE!	0	0	0	0	0	0
This router is a piece of junk	0	0	0	0	0	0
I recently upgraded my services to a cable provider that provides 15 MBs download speed.	0	0	0	0	0	0
I have a Linksys WRT54GL and I have had this for quite some time now.	0	0	0	0	0	0
I thought since I was upgrading all of my components that I would try and fully utilize my N capabilities on my laptops and with my XBOX wireless connector	0	0	0	0	0	0
I was at Best Buy to pick up some shielded CAT5 cable when I saw the deal for this router.	0	0	0	0	0	0
I was able to get this for $50 after discounts.	0	0	0	0	0	0
"Since I have had nothing but good news with my WRT54GL, I thought I would pick this up."	0	0	0	0	0	0
"I should have come to Amazon, as I normally do, and look at the reviews"	0	0	0	0	0	0
Onto the Pros and Cons	0	0	0	0	0	0
Pros:- Setup was extremely easy via the UI- Configuration through the web portal was the same as my WRT54GL which made it convenient and simple	0	0	0	0	0	0
"Cons:- The v3 router is as bad as the v1 and v2 that everyone here is having problems with.- Even with DD-WRT firmware, this thing is a POS.- When my wife turns on our Mac, the router decides to lose all wireless connectivity."	0	0	0	0	0	0
"This is a sweet feature.- When using this with P2P software, the download speeds with any other application is completely terrible."	0	0	0	0	0	0
This router is more of a switch than a router.	0	0	0	0	0	0
The P2P software has limits to 5MB download during the day.	0	0	0	0	0	0
This would mean that I still have available 8-10 MBs of download speed.	0	0	0	0	0	0
"However, when doing a speed test, I could not get any other computer to get over 2 MBs of download and everything was EXTREMELY sluggish"	0	0	0	0	0	0
I tried every possible way to get this thing to work properly but when the last straw was the continued lost of connectivity when turning on our Mac	0	0	0	0	0	0
Do yourself a favor and stay away from this router.	0	0	0	0	0	0
"If you want to hit yourself in the head and be continuously pissed off, then buy this thing."	0	0	0	0	0	0
I will be returning this ASAP and continue to use my WRT54GL until it is dead.	0	0	0	0	0	0
"I always get burnt by the old adage of:If it isnt broke, dont fix it."	0	0	0	0	0	0
I am in no way computer savvy but had no problem setting up this router.	0	0	0	0	0	0
"It works fine for my laptop in the house, but not in the detached garage."	0	0	0	0	0	0
Too many walls?	0	0	0	0	0	0
Unfortunately this time around I didnt have a great experience with the purchase.	0	0	0	0	0	0
Based upon several calls to CISCO the router was deemed to be defective.	0	0	0	0	0	0
As is usual with Amazon	0	0	0	0	0	0
"com I was able to easily download the return label , etc."	0	0	0	0	0	0
and once the return was received by them my refund was processed quickly.	0	0	0	0	0	0
"Product: LINSYS Wireless-N RoutersI bought a LINKSYS router that never performed well, and now, after a little more than a year, it has quit working altogether."	0	0	0	0	0	0
"When a person walked thru the signal between the router and a wireless receiver, the internet connection would drop."	0	0	0	0	0	0
We put up with that for the entire duration that we had it (just a little over a year) until one day when it just quit working.	0	0	0	0	0	0
"I tried reloading the Linksys WRT150N software, and at the end of the setup, I got an error message that said that it did not recognize the router (its own router)."	0	0	0	0	0	0
Linksys technical support (located in the Philippines) was not helpful or sympathetic--other than the fact they wanted to sell me another piece of junk!BEWARE of the reviews--this product line is TOO CHEAP!!!	0	0	0	0	0	0
Do yourself a big favor and buy another brand.	0	0	0	0	0	0
"I purchased this router to replace a very old one that still worked, but lacked certain configuration capabilities."	0	0	0	0	0	0
I recently purchased a Slingbox to watch TV over the network and the internet and needed port-mapping capabilities to allow me to use it remotely.	0	0	0	0	0	0
